"ID";"cong";"billnum";"h_or_sen";"major";"text"
204;107;4702;"HR";3;"To amend title XVIII of the Social Security Act to clarify the right of Medicare beneficiaries to enter into private contracts with physicians and other health care professionals for the provision of health services for which no payment is soug"
205;107;4703;"HR";18;"To establish a joint United States-Canada customs inspection pilot project."
206;107;4704;"HR";4;"To amend the Federal Food, Drug, and Cosmetic Act to establish labeling requirements regarding allergenic substances in food, and for other purposes."
207;107;4705;"HR";15;"To amend the Interstate Horseracing Act of 1978 to require the consent of certain horsemen's groups for interstate off-track wagers, and for other purposes."
208;107;4706;"HR";1;"To amend the Internal Revenue Code of 1986 to modify the unrelated business income limitation on investment in certain debt-financed properties."
209;107;4707;"HR";7;"To prohibit the use of arsenic-treated lumber to manufacture playground equipment, children's products, fences, walkways, and decks, and for all other residential purposes, and for other purposes."
210;107;4708;"HR";21;"To authorize the Secretary of the Interior to convey certain facilities to the Fremont-Madison Irrigation District, and for other purposes."
211;107;4709;"HR";3;"To amend the Public Health Services Act to authorize the Director of the National Institute of Environmental Health Sciences to conduct and coordinate a research program on hormone disruption."
212;107;4710;"HR";15;"To amend title 44, United States Code, to reduce paperwork burdens for small-business concerns."
213;107;4711;"HR";15;"To provide for the identification of assets hidden in United States financial institutions that have been stolen or misappropriated from foreign countries by corrupt foreign political figures of those countries."
214;107;4712;"HR";14;"To amend the Internal Revenue Code of 1986 to provide an exemption from the recapture provisions of the low-income housing credit for certain recipients of Federal multi-family housing loans."
215;107;4713;"HR";99;"-- Private Bill;  For the relief of Laura Maldonado Caetani."
216;107;4714;"HR";16;"To prohibit members of the Armed Forces in Saudi Arabia from being required or formally or informally compelled to wear the abaya garment, and for other purposes."
217;107;4715;"HR";3;"To amend titles XVIII and XIX of the Social Security Act to establish minimum requirements for nurse staffing in nursing facilities receiving payments under the Medicare or Medicaid Program."
218;107;4716;"HR";1;"To terminate the Internal Revenue Code of 1986."
219;107;4717;"HR";20;"Jim Fonteno Post Office Building."
220;107;4718;"HR";4;"To amend the Internal Revenue Code of 1986 to provide a 7-year recovery period for depreciation of potato storage facilities."
221;107;4719;"HR";21;"To amend the National Labor Relations Act to ensure that any business owned and operated by an Indian tribe and located on Indian lands is not considered an employer for purposes of such Act."
222;107;4720;"HR";17;"To provide that private land use rules be treated as State or local regulation for purposes of certain Federal Communications Commission regulations."
223;107;4721;"HR";21;"To authorize the Secretary of the Interior to provide assistance in implementing cultural heritage, conservation, and recreational activities in the Connecticut River watershed of the States of Connecticut and Massachusetts, and for other purpo"
224;107;4722;"HR";7;"To provide for the establishment of the Lake Erie Western Basin International Wildlife Refuge in the States of Ohio and Michigan, and for other purposes."
225;107;4723;"HR";18;"To authorize the extension of nondiscriminatory treatment (normal trade relations treatment) to the products of Ukraine, and for other purposes."
226;107;4724;"HR";21;"An Act to establish the Kalaupapa National Historical Park in the State of Hawaii, and for other purposes, to facilitate the purposes of that Act."
227;107;4725;"HR";20;"To amend the Internal Revenue Code of 1986 to promote the economic recovery of the District of Columbia."
228;107;4726;"HR";21;"To allow a permanent memorial to the victims of the September 11, 2001, terrorist attacks against the United States to be constructed on Sandy Hook in the Gateway National Recreation Area."
229;107;4727;"HR";21;"To reauthorize the national dam safety program, and for other purposes."
230;107;4728;"HR";6;"To provide assistance to train teachers of children with autism spectrum disorders, and for other purposes."
231;107;4729;"HR";3;"To amend the Social Security Act to provide for coverage under the Medicare Program of chronic kidney disease patients who are not end-stage renal disease patients."
232;107;4730;"HR";3;"To amend the Federal Food, Drug, and Cosmetic Act to require labeling containing information applicable to pediatric patients."
233;107;4731;"HR";1;"To amend the Internal Revenue Code of 1986 to allow a deduction from gross income to individuals who do not itemize deductions."
234;107;4732;"HR";6;"To amend the Internal Revenue Code of 1986 to repeal the dollar limitation on the deduction of interest on education loans."
235;107;4733;"HR";21;"To make technical amendments to the Indian Child Welfare Act of 1978."
